TAZ,HU_SF,HU_MF,HU_OTH
422,6.0,0.0,0.0
423,7.0,51.0,0.0
424,0.0,0.0,0.0
425,0.0,0.0,0.0
426,0.0,0.0,0.0
427,0.0,0.0,0.0
441,6.0,0.0,0.0
442,1.0,0.0,0.0
443,28.0,0.0,4.0
444,1.0,0.0,0.0
445,0.0,0.0,0.0
446,0.0,0.0,0.0
447,1.0,0.0,0.0
448,0.0,0.0,0.0
449,0.0,0.0,0.0
450,18.0,6.0,0.0
451,6.0,0.0,0.0
452,10.0,0.0,0.0
453,8.0,0.0,0.0
454,3.0,0.0,0.0
455,3.0,0.0,0.0
456,132.0,0.0,0.0
457,7.0,0.0,0.0
458,1.0,0.0,0.0
459,5.0,0.0,0.0
460,151.0,0.0,0.0
461,73.0,79.0,0.0
481,52.0,0.0,0.0
482,48.0,5.0,0.0
483,302.0,0.0,0.0
484,141.0,0.0,0.0
485,442.0,0.0,0.0
486,96.0,0.0,0.0
487,382.0,0.0,0.0
488,239.0,0.0,0.0
489,231.0,0.0,0.0
490,242.0,0.0,0.0
491,199.0,0.0,0.0
492,228.0,0.0,1.0
493,123.0,0.0,0.0
494,217.0,0.0,0.0
495,367.0,78.0,0.0
496,0.0,0.0,0.0
497,154.0,0.0,0.0
498,60.0,0.0,0.0
499,32.0,0.0,0.0
500,268.0,68.0,0.0
501,352.0,18.0,4.0
502,257.0,68.0,0.0
503,524.0,0.0,35.0
504,347.0,0.0,1.0
505,324.0,96.0,42.0
506,451.0,154.0,0.0
507,451.0,418.0,54.0
508,0.0,0.0,33.0
509,0.0,0.0,93.0
510,0.0,0.0,72.0
511,330.0,444.0,0.0
512,344.0,768.0,0.0
513,1.0,496.0,12.0
514,0.0,0.0,0.0
515,0.0,0.0,0.0
516,0.0,0.0,0.0
517,272.0,31.0,0.0
518,292.0,34.0,0.0
519,6.0,0.0,0.0
520,8.0,0.0,0.0
521,0.0,0.0,0.0
522,232.0,0.0,0.0
523,0.0,0.0,0.0
524,218.0,0.0,0.0
525,362.0,0.0,1.0
526,615.0,398.0,0.0
527,170.0,493.0,0.0
528,454.0,0.0,0.0
529,472.0,0.0,0.0
530,355.0,0.0,0.0
531,442.0,0.0,0.0
532,250.0,0.0,1.0
533,414.0,0.0,4.0
534,447.0,88.0,4.0
535,269.0,143.0,0.0
536,232.0,194.0,360.0
537,0.0,0.0,0.0
538,0.0,0.0,0.0
539,0.0,0.0,0.0
540,592.0,64.0,1.0
541,612.0,4.0,0.0
542,722.0,315.0,11.0
543,0.0,272.0,0.0
544,3.0,0.0,0.0
545,92.0,126.0,0.0
546,556.0,10.0,0.0
547,35.0,0.0,0.0
548,380.0,12.0,0.0
549,294.0,90.0,0.0
550,160.0,63.0,0.0
551,356.0,38.0,0.0
552,261.0,94.0,0.0
553,313.0,523.0,0.0
554,371.0,246.0,1.0
555,5.0,0.0,0.0
556,421.0,0.0,0.0
557,0.0,0.0,1.0
558,867.0,401.0,17.0
559,0.0,0.0,0.0
560,79.0,282.0,0.0
561,324.0,86.0,0.0
562,0.0,0.0,0.0
563,291.0,576.0,0.0
564,0.0,984.0,0.0
565,0.0,152.0,0.0
566,0.0,236.0,0.0
567,0.0,417.0,0.0
568,0.0,188.0,0.0
569,0.0,0.0,0.0
570,529.0,494.0,0.0
571,285.0,0.0,0.0
572,0.0,0.0,0.0
573,302.0,69.0,0.0
574,251.0,48.0,0.0
575,237.0,54.0,0.0
576,227.0,60.0,0.0
577,0.0,0.0,0.0
578,323.0,22.0,0.0
579,296.0,101.0,1.0
580,171.0,90.0,0.0
581,280.0,31.0,40.0
582,301.0,173.0,4.0
583,0.0,0.0,0.0
584,157.0,383.0,0.0
585,192.0,151.0,0.0
586,254.0,276.0,0.0
587,2.0,0.0,0.0
588,0.0,0.0,0.0
589,0.0,0.0,0.0
590,0.0,0.0,1.0
591,0.0,0.0,0.0
592,0.0,0.0,0.0
593,2.0,0.0,2.0
594,0.0,14.0,0.0
595,0.0,0.0,0.0
596,0.0,0.0,0.0
597,264.0,52.0,0.0
598,598.0,642.0,0.0
599,552.0,483.0,0.0
600,112.0,0.0,324.0
601,1.0,63.0,0.0
602,363.0,105.0,0.0
603,473.0,171.0,0.0
604,0.0,382.0,0.0
605,381.0,0.0,0.0
606,253.0,5.0,0.0
607,142.0,0.0,0.0
608,331.0,100.0,0.0
609,176.0,0.0,0.0
610,260.0,13.0,3.0
611,247.0,0.0,0.0
612,227.0,142.0,0.0
613,213.0,137.0,2.0
614,2.0,0.0,0.0
615,0.0,0.0,0.0
631,0.0,0.0,0.0
632,0.0,0.0,0.0
633,22.0,28.0,0.0
634,34.0,101.0,0.0
635,33.0,86.0,0.0
636,211.0,347.0,0.0
637,1.0,0.0,0.0
638,161.0,506.0,0.0
639,0.0,0.0,0.0
640,7.0,4.0,0.0
641,89.0,121.0,0.0
642,241.0,308.0,0.0
643,22.0,37.0,0.0
644,219.0,191.0,0.0
645,0.0,0.0,0.0
