parcelid,xcoord_p,ycoord_p,sqft_p,taz_p,block_p,hh_p,stugrad_p,stuhgh_p,stuuni_p,empedu_p,empfoo_p,empgov_p,empind_p,empmed_p,empofc_p,empret_p,empsvc_p,empoth_p,emptot_p,parkdy_p,parkhr_p,ppricdyp,pprichrp
51,6060421.04,2199861.407,13827.464,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,6057817.919,2199875.042,13598.073,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
53,6076691.624,2218072.4,521.509,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,6067818.67,2224294.018,364.217,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,6071709.002,2226640.376,6839.392,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,6076128.256,2214344.039,21339.192,2223,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0
57,6056119.021,2212428.312,149.705,2223,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,6055619.076,2212336.221,908.805,2223,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,6050944.277,2208073.532,80.005,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,6074925.078,2206145.387,28187.624,2223,0,1,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0
61,6058996.493,2207819.29,14635.962,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,6076711.174,2220578.182,1703.05,2223,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
63,6053793.638,2207879.997,13440.272,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
64,6064534.364,2210424.713,14892.657,2223,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
65,6065327.106,2216015.11,8511.485,2223,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,6044874.647,2199929.374,3530.274,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,6070980.861,2219400.779,3445.261,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,6064482.167,2205814.003,36884.718,2223,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
69,6076560.939,2203626.273,6723.556,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
70,6074249.07,2227323.924,15346.405,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,6059971.474,2215405.367,6491.342,2223,0,2,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
72,6069752.032,2213299.946,767.93,2223,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,6059039.83,2213088.657,13739.795,2223,0,2,0,0,0,0,0,0,0,1,0,0,0,132,133,0,0,0,0
74,6068915.104,2212734.212,7244.33,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,6064492.246,2213062.005,15217.165,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,6060569.885,2210481.618,5890.115,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,6077250.036,2226310.474,6472.852,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,6061119.645,2217255.738,2260.804,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,6057881.03,2210527.154,8189.013,2223,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,6045643.935,2202901.541,79.834,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,6072421.734,2228635.62,496.984,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,6072819.496,2228812.576,99.549,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,6077038.671,2229091.343,6846.874,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,6073429.547,2224712.556,3129.987,2223,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,6071266.438,2224409.477,8519.286,2223,0,22,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
86,6069928.217,2205717.791,35388.429,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
87,6075252.661,2210152.305,12567.99,2223,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,6072508.151,2211488.12,89.198,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,6056246.952,2210462.625,431.021,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,6066608.839,2222428.775,3861.038,2223,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,6075045.979,2230948.558,1468.093,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,6075687.585,2231157.814,213.529,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,6069267.809,2216971.592,65256.72,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
94,6063155.002,2215085.597,4602.477,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,6070241.298,2213119.341,1102.392,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,6069974.37,2210333.64,13534.912,2223,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,6053412.518,2204805.845,17436.083,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0
98,6045232.876,2201651.266,2412.114,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,6045390.037,2198968.796,1291.887,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,6059029.408,2204476.948,21297.744,2223,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
101,6063673.45,2198435.527,11002.482,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,6076750.564,2219201.771,5341.341,2223,0,16,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0
103,6055236.054,2200574.257,17493.836,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,6076079.941,2225798.177,4037.579,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,6064444.157,2215336.33,1734.315,2223,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,6075270.958,2211453.779,1410.876,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,6054660.114,2210328.597,7489.56,2223,0,5,0,0,0,0,0,0,64,0,0,0,0,0,64,0,0,0,0
108,6049731.914,2201408.173,57150.129,2223,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
109,6084914.769,2222161.03,2515.891,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6101121.965,2220741.294,21557.343,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,6087863.732,2231987.694,1287.492,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,6083158.481,2220315.672,46490.112,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,6079815.255,2229580.296,7743.932,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,6082282.495,2229753.957,6368.296,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,6084116.431,2224243.374,4431.616,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,6079031.316,2232615.447,3591.384,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,6100053.08,2215771.062,8068.983,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,6080324.58,2232573.044,4285.056,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,6082420.924,2227329.068,6497.361,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,6090193.694,2225729.114,23018.561,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,6080278.236,2225561.834,5850.959,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,6081587.485,2224535.091,4595.126,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,6089052.571,2217579.052,46284.611,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,6087761.99,2231853.842,1378.486,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,6098786.128,2215945.578,8102.633,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,6099065.388,2219016.41,3099.372,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,6082366.04,2232517.833,8204.05,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,6078934.531,2226293.17,6320.315,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,6085933.641,2233667.913,600.965,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,6096173.35,2221208.177,13294.96,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,6092862.754,2224467.345,21630.069,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,6093029.858,2228473.606,405.727,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,6099327.956,2223557.212,3772.654,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,6082508.087,2222660.595,892.433,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,6086342.731,2227668.464,52080.191,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
136,6095460.561,2216458.833,16336.069,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,6082901.057,2224167.285,4505.826,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,6095983.578,2224702.069,13568.268,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,6097523.886,2216032.395,7682.532,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,6102034.368,2215406.244,16602.675,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
141,6091420.487,2206123.23,16879.719,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
142,6091098.842,2202571.189,21578.986,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0
143,6096906.689,2197377.633,9045.388,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,0,0,0,0
144,6091582.923,2211691.4,9831.623,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,6086045.031,2204810.165,28830.027,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,6080303.803,2210685.067,932.01,2224,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0
147,6087618.737,2214255.972,28815.269,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,6080627.261,2205259.109,24194.231,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,6099363.902,2207497.439,19585.525,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
150,6098476.859,2212725.017,1942.279,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,6084097.789,2211289.09,29732.711,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,6080580.242,2214846.297,21613.311,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,6085658.891,2199466.39,27424.381,2224,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
154,6095953.217,2211100.534,16918.519,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,6101142.25,2210017.35,24247.356,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,6090882.724,2197667.881,8959.773,2224,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
157,6098573.566,2212875.053,1175.075,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,6086033.321,2208962.881,2851.505,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,6085250.814,2208149.429,5505.942,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
160,6091258.259,2207905.579,1078.495,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,6085536.653,2208756.337,1336.196,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,6080426.65,2208800.412,13150.097,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0
163,6085169.55,2216171.796,2525.676,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,6098990.836,2206577.577,1962.38,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,6099245.501,2204481.211,41295.597,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,6086021.232,2202016.501,877.169,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,6048265.808,2194606.421,9773.155,2231,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
168,6045525.218,2198271.712,3510.149,2231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,6051549.041,2184615.539,61412.812,2231,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0
170,6060628.682,2175986.891,58.443,2231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,6045069.02,2195159.651,10625.933,2231,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
172,6068791.825,2144787.707,35675.143,2202,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0
173,6066045.08,2135154.544,4496.867,2202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,6038027.225,2172111.828,9417.753,2202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,6045300.31,2169968.945,821.364,2202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,6026074.357,2170783.698,1303.285,2202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,6046958.511,2168344.309,17.317,2202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,6078842.536,2162683.265,27383.332,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0
179,6101406.455,2166223.965,6561.426,2242,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,6097291.72,2162350.862,55681.53,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
181,6085587.272,2167822.927,13944.059,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0
182,6085385.369,2161285.743,7042.794,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
183,6089545.187,2167781.451,27640.724,2242,0,2,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0
184,6083690.145,2163034.598,20352.444,2242,0,6,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0
185,6096902.91,2167819.761,49067.887,2242,0,1,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0
186,6082960.034,2167845.579,14018.394,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0
187,6078943.391,2166599.226,14520.18,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0
188,6089426.206,2163843.458,13776.714,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
