TAZ,HU_SF,HU_MF,HU_OTH
101,409.0001630233032,3.243399923897059e-05,9.512569566601329e-06
102,0.0,0.0,0.0
103,401.05107785972154,190.4080683953627,0.11968240395575414
104,531.3204909526141,1.4564347141390332,0.42715782396683544
105,490.5186086195143,0.10317881702218655,0.030261321383515272
106,450.0,0.0,0.0
107,191.0,240.0,0.0
108,116.0,0.0,0.0
109,218.01974240482326,172.79974040240987,0.23455591020686473
110,0.0,0.0,0.0
111,144.7335996215075,1.1407176895363733,0.3345611590361463
112,0.0,0.0,0.0
113,117.0,100.0,0.0
114,139.0,0.0,0.0
115,231.0,104.0,0.0
116,4.0,120.0,0.0
117,481.0,0.0,0.0
118,85.75996180978001,0.0,0.0
119,210.0,0.0,0.0
120,197.0,0.0,0.0
121,5.0,0.0,0.0
122,7.0,0.0,0.0
123,65.0,0.0,0.0
124,24.0,0.0,0.0
125,7.0,0.0,0.0
126,0.0,0.0,0.0
127,2.4209036483600004,0.0,0.0
128,472.0245727732567,2.407276555135951,0.7060302840873447
129,177.30583993087188,4.041466496658348,1.185321949269777
130,124.48822200515018,0.4950395988798058,0.14519019341001962
131,66.0,119.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,423.7597347527808,36.01198812380927,0.0
135,0.0,0.0,0.0
136,57.1027674724102,251.1404336395898,0.0
137,285.4582938114,0.0,0.0
138,452.7039484137663,100.14005275239172,0.04107608008202267
139,105.48748812512,149.0,0.0
140,365.0,311.0,0.0
141,124.61083456456532,42.72403840538071,0.21235326699396195
142,0.0,38.0,0.0
143,26.146865433452195,0.029219340201557052,0.008569742026248012
144,0.0,521.0,0.0
145,250.28174534604,36.0,0.0
146,42.0,117.0,0.0
147,0.0,0.0,0.0
148,0.0,0.07216450525,0.0
149,219.69312355616003,248.50464028733998,0.0
150,73.60565990207999,23.48246329896,0.0
151,30.0,403.0,0.0
152,292.667477568,0.0,0.0
153,520.5944448212839,1.709891845710214,0.5014942811658955
154,478.6926205036033,2.923143089942254,0.8573288107744372
155,181.0,80.0,0.0
156,0.0,1009.32221630104,290.0
157,29.0,82.72339916672,0.0
158,31.0,697.0,0.0
159,0.0,338.0,0.0
160,297.17486171328,250.88087489406,1.0
161,0.0,35.496483938500006,0.0
162,63.0,217.01474749980005,0.0
163,259.61370721983997,222.0,0.0
164,517.4917906871113,9.863818516741263,0.19436205734741757
165,258.0,0.0,0.0
166,572.0,0.0,0.0
167,576.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,466.0,118.0,0.0
171,0.0,0.0,0.0
172,0.0,66.0,323.0
173,110.63697278694413,203.20116492218588,224.0
174,0.0,0.0,0.0
175,1.0,0.0,0.0
176,317.37722147742113,250.34187692725885,0.0
177,8.0,33.0,0.0
178,0.0,377.0,0.0
179,0.0,0.0,0.0
180,477.0,0.0,0.0
181,437.0,0.0,0.0
182,566.0,0.0,0.0
183,480.0,0.0,0.0
184,0.0,0.0,0.0
185,233.11459366048,111.0,0.0
186,0.0,0.0,58.0
187,0.0,610.9575049764001,0.0
188,287.0,202.0,0.0
189,0.0,790.0,0.0
190,181.24372862112,55.17092021872,0.0
191,1.0,216.0,0.0
192,340.1136928,54.878646958880005,0.0
193,0.0,0.0,0.0
194,83.0,483.95622285576,0.0
195,500.0,418.14840320216,0.0
196,370.0,45.0,0.0
197,307.0,0.0,0.0
198,493.0,0.0,0.0
199,246.0,227.38455330376001,0.0
200,469.76613501543966,730.6623448888504,0.0
201,527.0,173.42740286416,0.0
202,322.3745002096,0.0,0.0
203,400.34169078907996,0.0,0.0
204,536.6894616601601,0.0,0.0
205,359.4615154707034,33.02734725519172,0.8205318226448985
206,314.0,0.0,0.0
207,484.0,48.0,0.0
208,444.0,0.0,0.0
209,137.0,0.0,0.0
210,67.0,0.0,0.0
211,313.0,0.0,0.0
212,368.0,0.0,11.0
213,489.0,0.0,0.0
214,347.02568738112,0.0,0.0
215,1.0,0.0,0.0
241,0.0,187.8896267104,0.0
242,275.7722301001236,250.67509980832642,0.0
243,73.35707653044,0.0,0.0
244,10.0,0.0,0.0
245,127.04559278245459,140.7132294207954,0.0
246,183.84237442260095,124.89691909887902,0.0
247,3.0,0.0,0.0
248,8.360710905082732,4.551980400623575,0.002023694373694886
249,349.5566196339199,0.0,0.0
250,0.0,0.0,0.0
251,230.013689088929,112.13934211574094,0.0
252,372.95729112412,0.0,0.0
253,638.0,0.0,0.0
254,621.0,0.0,0.0
255,466.0,0.0,0.0
256,432.74845766942,0.0,0.0
257,209.09930004644,0.0,0.0
258,256.48066333322004,0.0,0.0
259,247.0,0.0,0.0
260,64.5344654839,0.0,0.0
261,115.36612941402144,11.828266564686777,3.4691130045318026
262,57.2259208674,0.0,0.0
263,404.0,0.0,0.0
264,423.0,0.0,0.0
265,372.0,0.0,0.0
266,224.0,0.0,0.0
267,619.0,0.9414075541900001,0.0
268,600.0,0.0,0.0
269,254.0,0.0,0.0
270,250.0,0.0,0.0
271,113.0,0.0,0.0
272,45.47381537352,0.0,0.0
273,60.74457227616,0.0,0.0
274,532.0,0.0,0.0
275,361.30474118985387,2.2491138381068634,0.6596427313992962
276,19.65734199008,0.0,0.0
277,588.28318318304,0.0,0.0
278,453.0,1.0,0.0
279,516.0,0.0,0.0
280,148.0,0.0,0.0
281,176.95377231824003,0.0,0.0
282,444.0,0.0,0.0
283,207.0,130.0,0.0
284,153.0,0.0,0.0
285,348.0,0.0,0.0
286,255.84134527392285,93.11244353483468,4.2602768628024315
287,3.0,0.0,0.0
288,499.0,0.0,0.0
289,0.0,0.0,0.0
290,106.73362421376405,18.37828752646258,5.390169042133375
291,64.31352728153567,11.456085474080885,3.3599559903234466
292,1.0,0.0,0.0
293,3.0,0.0,0.0
294,327.0,0.0,0.0
295,656.0,0.0,0.0
296,739.0,0.0,0.0
297,113.0,0.0,0.0
298,37.6049568162345,3.301362233018034,0.9682567257509465
299,136.52643161723148,1.6370634254994807,0.4801344294690418
300,20.0,0.0,0.0
321,0.0,0.0,0.0
322,0.0,0.0,0.0
323,538.6214746112769,21.32995234140315,0.0
324,359.0,0.0,0.0
325,151.0,61.0,0.0
326,69.0,183.0,0.0
327,59.0,0.0,128.0
328,460.0,69.0,0.0
329,128.0,37.0,0.0
330,63.0,172.0,0.0
331,87.0,63.0,0.0
332,268.0,2.0,86.0
333,195.0,290.0,29.0
334,255.0,42.0,0.0
335,0.0,0.0,0.0
336,516.0,153.0,26.0
337,48.021811294399996,0.0,0.0
338,0.0,0.0,0.0
339,217.0,133.0,0.0
340,1.0,0.0,16.0
341,2.0086873342703093,0.0,5.021718335675773
351,0.0,0.0,0.0
352,0.0,0.0,0.0
353,23.0,0.0,0.0
354,0.0,0.0,0.0
355,0.0,0.0,0.0
371,110.0,23.0,0.0
372,585.2997726179187,511.58866591404126,0.0
373,57.69639184767782,39.1735328859921,24.0
