; TAZ,COUNTY,CITY,TOTHH,TOTPOP,TOTEMP,EMPEDU,EMPFOO,EMPGOV,EMPIND,EMPMED,EMPOFC,EMPOTH,EMPRET,EMPAGR
101,Fresno,Clovis,397.0,981.0,291.25650668832003,16.0,47.0,0.0,0.0,28.0,26.0,48.0,58.0,68.25650668832
102,Fresno,Clovis,0.0,0.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Fresno,Clovis,529.0,1545.0,551.9573058677721,0.0,230.0,0.0,6.0,101.0,79.0,13.0,94.0,28.957305867772128
104,Fresno,Clovis,517.0,1336.0,129.0,3.0,14.0,0.0,33.0,13.0,65.0,1.0,0.0,0.0
105,Fresno,Clovis,474.0,1375.0,116.33339031582544,0.0,13.0,0.0,2.0,37.0,10.0,14.0,0.0,40.333390315825454
106,Fresno,Clovis,438.0,1654.0,117.1367579811103,54.0,2.0,0.0,40.0,12.0,2.0,0.0,3.0,4.136757981110304
107,Fresno,Clovis,404.0,1040.0,1061.0,15.0,118.0,0.0,100.0,162.0,44.0,55.0,567.0,0.0
108,Fresno,Clovis,109.0,278.0,1920.4616436599854,0.0,0.0,249.0,897.0,258.0,211.0,22.0,209.0,74.46164365998547
109,Fresno,Clovis,378.0,1058.0,632.1282533441599,0.0,19.0,0.0,64.0,267.0,164.0,23.0,61.0,34.128253344160015
110,Fresno,Clovis,0.0,0.0,311.0,0.0,164.0,0.0,0.0,5.0,5.0,48.0,89.0,0.0
111,Fresno,Clovis,139.0,394.0,28.0,0.0,0.0,0.0,1.0,3.0,24.0,0.0,0.0,0.0
112,Fresno,Clovis,0.0,0.0,910.0,0.0,182.0,0.0,0.0,17.0,1.0,23.0,687.0,0.0
113,Fresno,Clovis,218.0,654.0,13.170947476387877,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,5.170947476387878
114,Fresno,Clovis,139.0,417.0,183.17094747638785,0.0,27.0,0.0,0.0,5.0,23.0,53.0,70.0,5.170947476387878
115,Fresno,Clovis,336.0,1008.0,10.034189495277577,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,1.034189495277576
116,Fresno,Clovis,125.0,375.0,801.4102739433308,0.0,125.0,0.0,21.0,297.0,137.0,105.0,104.0,12.41027394333091
117,Fresno,Clovis,469.0,1636.0,55.0,0.0,0.0,0.0,7.0,14.0,7.0,27.0,0.0,0.0
118,Fresno,Clovis,85.0,289.0,107.06837899055515,47.0,0.0,0.0,7.0,5.0,45.0,1.0,0.0,2.068378990555152
119,Fresno,Clovis,186.0,609.0,58.136757981110314,0.0,26.0,0.0,26.0,0.0,2.0,0.0,0.0,4.136757981110304
120,Fresno,Clovis,197.0,591.0,34.615410914996374,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,18.615410914996367
121,Fresno,Clovis,5.0,15.0,899.5128424291637,0.0,0.0,0.0,30.0,30.0,199.0,611.0,14.0,15.512842429163635
122,Fresno,Clovis,7.0,21.0,44.435958801658195,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.435958801658195
123,Fresno,Clovis,65.0,195.0,266.0,0.0,115.0,0.0,14.0,32.0,24.0,6.0,75.0,0.0
124,Fresno,Clovis,24.0,72.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
125,Fresno,Clovis,7.0,21.0,57.53852728749092,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,46.53852728749092
126,Fresno,Clovis,0.0,0.0,129.17094747638788,0.0,0.0,0.0,1.0,71.0,51.0,0.0,1.0,5.170947476387878
127,Fresno,Clovis,2.0,7.0,2733.0,0.0,144.0,0.0,0.0,2561.0,16.0,12.0,0.0,0.0
128,Fresno,Clovis,469.0,1418.0,145.27351596222059,73.0,0.0,0.0,11.0,17.0,20.0,16.0,0.0,8.273515962220609
129,Fresno,Clovis,180.0,534.0,117.27351596222059,27.0,0.0,0.0,0.0,10.0,2.0,0.0,70.0,8.273515962220609
130,Fresno,Clovis,125.0,239.0,229.8462327449891,9.0,0.0,0.0,9.0,7.0,44.0,51.0,54.0,55.8462327449891
