parcelid,SOI,COMMUNITY,TAZ,HU_NET,EMP_NET,VacRate,HH_SIZE,BASE_SCORE,IDX_Bike,IDX_Transit,IDX_SOV,TOTAL_SCORE
22,Clovis, ,130,0.0,8.063255320969999,0.0362225633791129,2.654516358463727,1.1635349635349634,0.4296508127633956,0.2375478927203065,0.766566265060241,2.6578707142948197
23,Clovis, ,130,0.0,3.3656237200800003,0.0362225633791129,2.654516358463727,1.1635349635349634,0.4296508127633956,0.2375478927203065,0.766566265060241,2.6578707142948197
199,Clovis, ,203,0.0,5.827302552889999,0.0362225633791129,2.654516358463727,4.163534963534963,0.8370860927152318,0.34227330779054915,0.7128514056224899,4.383043068225062
243,Clovis, ,203,0.0,3.3022484004999995,0.0362225633791129,2.654516358463727,4.163534963534963,0.8370860927152318,0.34227330779054915,0.7128514056224899,4.383043068225062
279,Clovis, ,206,0.08138770688000001,0.0,0.0362225633791129,2.654516358463727,2.5521664521664524,0.5306441902468393,0.0,0.5958835341365462,2.9107021708956173
320,Clovis, ,203,0.0,5.01097296905,0.0362225633791129,2.654516358463727,4.163534963534963,0.8370860927152318,0.34227330779054915,0.7128514056224899,4.383043068225062
348,Clovis, ,293,26.026414791469996,71.04140286110999,0.0362225633791129,2.654516358463727,1.879485165839927,0.08383503913305237,0.0,0.39156626506024095,2.230206302813102
362,Clovis, ,203,0.0,3.2740274974,0.0362225633791129,2.654516358463727,4.163534963534963,0.8370860927152318,0.34227330779054915,0.7128514056224899,4.383043068225062
411,Clovis, ,203,0.0,5.63732898838,0.0362225633791129,2.654516358463727,4.163534963534963,0.8370860927152318,0.34227330779054915,0.7128514056224899,4.383043068225062
461,Clovis, ,203,0.0,3.43298972716,0.0362225633791129,2.654516358463727,4.163534963534963,0.8370860927152318,0.34227330779054915,0.7128514056224899,4.383043068225062
640,Clovis, ,203,0.0,0.3738287737199997,0.0362225633791129,2.654516358463727,4.163534963534963,0.8579771222155328,0.34227330779054915,0.7128514056224899,4.400090148297308
710,Clovis, ,203,0.0,0.37378796626,0.0362225633791129,2.654516358463727,4.163534963534963,0.8579771222155328,0.34227330779054915,0.7128514056224899,4.400090148297308
773,Clovis, ,203,0.0,0.35906514549999996,0.0362225633791129,2.654516358463727,4.163534963534963,0.8579771222155328,0.34227330779054915,0.7128514056224899,4.400090148297308
781,Clovis, ,203,0.0,9.004828822379999,0.0362225633791129,2.654516358463727,4.163534963534963,0.8579771222155328,0.34227330779054915,0.7128514056224899,4.400090148297308
874,Clovis, ,203,0.0,0.37377329006,0.0362225633791129,2.654516358463727,4.163534963534963,0.8579771222155328,0.34227330779054915,0.7128514056224899,4.400090148297308
877,Clovis, ,203,0.0,0.37375100891999996,0.0362225633791129,2.654516358463727,4.163534963534963,0.8579771222155328,0.34227330779054915,0.7128514056224899,4.400090148297308
879,Clovis, ,203,0.0,0.37381533641999987,0.0362225633791129,2.654516358463727,4.163534963534963,0.8579771222155328,0.34227330779054915,0.7128514056224899,4.400090148297308
880,Clovis, ,203,0.0,0.35875142743,0.0362225633791129,2.654516358463727,4.163534963534963,0.8579771222155328,0.34227330779054915,0.7128514056224899,4.400090148297308
980,Clovis, ,203,0.0,0.37378133338,0.0362225633791129,2.654516358463727,4.163534963534963,0.8579771222155328,0.34227330779054915,0.7128514056224899,4.400090148297308
981,Clovis, ,203,0.0,0.37379681963,0.0362225633791129,2.654516358463727,4.163534963534963,0.8579771222155328,0.34227330779054915,0.7128514056224899,4.400090148297308
982,Clovis, ,203,0.0,0.3738368742200002,0.0362225633791129,2.654516358463727,4.163534963534963,0.8579771222155328,0.34227330779054915,0.7128514056224899,4.400090148297308
1023,Clovis, ,203,0.0,7.799528810089999,0.0362225633791129,2.654516358463727,4.163534963534963,0.9048163756773028,0.34227330779054915,0.7128514056224899,4.438310979122113
1267,Clovis, ,138,0.25303515392,0.0,0.0362225633791129,2.654516358463727,2.5521664521664524,0.8596628537025888,0.2886334610472541,0.6119477911646586,4.101823254134725
1274,Clovis, ,130,0.0,3.15534469893,0.0362225633791129,2.654516358463727,1.1635349635349634,0.4296508127633956,0.2375478927203065,0.766566265060241,2.6578707142948197
1279,Clovis, ,135,0.0,0.41791289344,0.0362225633791129,2.654516358463727,0.578673243429644,0.9681517158338352,0.35759897828863346,0.7394578313253012,3.108307963013171
1341,Clovis, ,130,0.0,3.2354308163299996,0.0362225633791129,2.654516358463727,1.1635349635349634,0.4296508127633956,0.2375478927203065,0.766566265060241,2.6578707142948197
1369,Clovis, ,130,0.0,2.8334398729,0.0362225633791129,2.654516358463727,1.1635349635349634,0.4296508127633956,0.2375478927203065,0.766566265060241,2.6578707142948197
1393,Clovis, ,130,0.0,5.778230187839999,0.0362225633791129,2.654516358463727,1.1812097812097813,0.18741721854304635,0.2375478927203065,0.766566265060241,2.46741942702234
1404,Clovis, ,130,0.0,3.3756399597399995,0.0362225633791129,2.654516358463727,1.1635349635349634,0.4296508127633956,0.2375478927203065,0.766566265060241,2.6578707142948197
1417,Clovis, ,129,3.2562890838400005,0.0,0.0362225633791129,2.654516358463727,2.5713856713856713,0.5302829620710415,0.2426564495530013,0.8067269076305221,4.188807305470475
1472,Clovis, ,139,0.0,2.68668811514,0.0362225633791129,2.654516358463727,2.5511368511368513,0.8094220349187237,0.1800766283524904,0.5637550200803213,3.062227994735495
1473,Clovis, ,139,0.0,1.01891984776,0.0362225633791129,2.654516358463727,2.5511368511368513,0.8094220349187237,0.1800766283524904,0.5637550200803213,3.062227994735495
1482,Clovis, ,139,0.0,1.00397910222,0.0362225633791129,2.654516358463727,2.5511368511368513,0.8094220349187237,0.1800766283524904,0.5637550200803213,3.062227994735495
1490,Clovis, ,128,0.9248568908800001,0.0,0.0362225633791129,2.654516358463727,2.5713856713856713,0.7530704394942805,0.13665389527458496,0.748995983935743,3.9765336107242955
1521,Clovis, ,130,0.0,3.37551631752,0.0362225633791129,2.654516358463727,1.1635349635349634,0.4296508127633956,0.2375478927203065,0.766566265060241,2.6578707142948197
1566,Clovis, ,116,-1.0,49.98807853488,0.0362225633791129,2.654516358463727,1.5690783113267075,0.9585791691751956,0.3563218390804598,0.6947791164658634,2.3999779532466574
1579,Clovis, ,109,0.0,9.293678872,0.0362225633791129,2.654516358463727,1.1635349635349634,0.8029801324503312,0.33205619412515963,0.7178714859437751,3.1143938814803676
1587,Clovis, ,108,0.0,9.1449235772,0.0362225633791129,2.654516358463727,1.1635349635349634,0.8368753762793498,0.2720306513409962,0.7344377510040161,3.0221460162875275
1589,Clovis, ,116,0.0,248.57034495920004,0.0362225633791129,2.654516358463727,1.3360184271592046,0.9585791691751956,0.3563218390804598,0.6947791164658634,2.333416050328419
1594,Clovis, ,116,-1.0,58.44282230304,0.0362225633791129,2.654516358463727,1.570758859237945,0.9585791691751956,0.3563218390804598,0.6947791164658634,2.4004579177301073
1598,Clovis, ,125,11.79217158711,33.62539286843,0.0362225633791129,2.654516358463727,1.8694032432457686,0.6311258278145695,0.3167305236270754,0.6430722891566265,1.9240751488876566
1632,Clovis, ,125,29.828325384439996,81.03507254171998,0.0362225633791129,2.654516358463727,1.8806025569671878,0.6311258278145695,0.3167305236270754,0.6430722891566265,1.9167087423426217
1635,Clovis, ,125,14.57944770706,40.952003047779996,0.0362225633791129,2.654516358463727,1.8728279654609044,0.6311258278145695,0.3167305236270754,0.6430722891566265,1.9218257044457778
1636,Clovis, ,109,-1.0,84.80802618864001,0.0362225633791129,2.654516358463727,1.5738478106004505,0.7869355809753161,0.33205619412515963,0.7178714859437751,2.288096418355632
1638,Clovis, ,125,15.281450796159998,42.79728236608,0.0362225633791129,2.654516358463727,1.8735056624485549,0.6311258278145695,0.3167305236270754,0.6430722891566265,1.921380243372297
1639,Clovis, ,125,12.731440467859999,36.094347018179995,0.0362225633791129,2.654516358463727,1.870712639970297,0.6311258278145695,0.3167305236270754,0.6430722891566265,1.9232154351516462
1640,Clovis, ,125,7.4366793587,19.5479917831,0.0362225633791129,2.654516358463727,1.8885456885456886,0.6311258278145695,0.3167305236270754,0.6430722891566265,2.7306656027352423
1646,Clovis, ,109,0.0,2.5817590723599997,0.0362225633791129,2.654516358463727,1.1635349635349634,0.8029801324503312,0.33205619412515963,0.7178714859437751,3.1143938814803676
