TAZ,SOI,Base_EMP,transit_skim,IDX_Transit,sov_skim,IDX_SOV
1,,0.0,0.0,0.0,0.0,0.0
2,,0.0,0.0,0.0,0.0,0.0
3,,0.0,0.0,0.0,0.0,0.0
4,,0.0,0.0,0.0,0.0,0.0
5,,0.0,0.0,0.0,0.0,0.0
6,,0.0,0.0,0.0,0.0,0.0
7,,0.0,0.0,0.0,0.0,0.0
8,,0.0,0.0,0.0,0.0,0.0
9,,0.0,0.0,0.0,0.0,0.0
10,,0.0,0.0,0.0,0.0,0.0
11,,0.0,0.0,0.0,0.0,0.0
12,,0.0,0.0,0.0,0.0,0.0
13,,0.0,0.0,0.0,0.0,0.0
14,,0.0,0.0,0.0,0.0,0.0
15,,0.0,0.0,0.0,0.0,0.0
16,,0.0,0.0,0.0,0.0,0.0
17,,0.0,0.0,0.0,0.0,0.0
18,,0.0,0.0,0.0,0.0,0.0
19,,0.0,0.0,0.0,0.0,0.0
20,,0.0,0.0,0.0,0.0,0.0
21,,0.0,0.0,0.0,0.0,0.0
22,,0.0,0.0,0.0,0.0,0.0
23,,0.0,0.0,0.0,0.0,0.0
24,,0.0,0.0,0.0,0.0,0.0
25,,0.0,0.0,0.0,0.0,0.0
26,,0.0,0.0,0.0,0.0,0.0
27,,0.0,0.0,0.0,0.0,0.0
28,,0.0,0.0,0.0,0.0,0.0
29,,0.0,0.0,0.0,0.0,0.0
30,,0.0,0.0,0.0,0.0,0.0
31,,0.0,0.0,0.0,0.0,0.0
32,,0.0,0.0,0.0,0.0,0.0
33,,0.0,0.0,0.0,0.0,0.0
34,,0.0,0.0,0.0,0.0,0.0
35,,0.0,0.0,0.0,0.0,0.0
36,,0.0,0.0,0.0,0.0,0.0
37,,0.0,0.0,0.0,0.0,0.0
38,,0.0,0.0,0.0,0.0,0.0
39,,0.0,0.0,0.0,0.0,0.0
40,,0.0,0.0,0.0,0.0,0.0
41,,0.0,0.0,0.0,0.0,0.0
42,,0.0,0.0,0.0,0.0,0.0
43,,0.0,0.0,0.0,16.824767279968192,0.001004016064257028
44,,0.0,0.0,0.0,136.77564969973196,0.002008032128514056
45,,0.0,0.0,0.0,46.27914597636209,0.0015060240963855422
46,,0.0,0.0,0.0,0.0,0.0
47,,0.0,0.0,0.0,0.0,0.0
48,,0.0,0.0,0.0,0.0,0.0
49,,0.0,0.0,0.0,0.0,0.0
50,,0.0,0.0,0.0,0.0,0.0
51,,0.0,0.0,0.0,0.0,0.0
52,,0.0,0.0,0.0,0.0,0.0
53,,0.0,0.0,0.0,0.0,0.0
54,,0.0,0.0,0.0,0.0,0.0
55,,0.0,0.0,0.0,0.0,0.0
56,,0.0,0.0,0.0,0.0,0.0
57,,0.0,0.0,0.0,0.0,0.0
58,,0.0,0.0,0.0,0.0,0.0
59,,0.0,0.0,0.0,0.0,0.0
60,,0.0,0.0,0.0,0.0,0.0
61,,0.0,0.0,0.0,6737.91003905424,0.012550200803212851
62,,0.0,0.0,0.0,23948.607067598856,0.06977911646586345
63,,0.0,0.0,0.0,514.8401163903042,0.0035140562248995983
64,,0.0,0.0,0.0,1414.7415900853453,0.006024096385542169
65,,0.0,0.0,0.0,16269.110340012645,0.03614457831325301
