parcelid,SOI,COMMUNITY,TAZ,HU_NET,EMP_NET,TOTAL_SCORE,TAZ_HU_Target,TAZ_EMP_Target,SOI_HU_P,SOI_EMP_P,DEV,DEV_TAZ,DEV_SOI,SOI_HU_Target,SOI_EMP_Target
13922,Clovis, ,202,0.24300204032000006,0.0,13.392321314796245,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
13944,Clovis, ,202,0.52406758976,0.0,13.392321314796245,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
13956,Clovis, ,202,0.4985908428800001,0.0,13.392321314796245,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
13990,Clovis, ,202,0.52133980288,0.0,13.392321314796245,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
14116,Clovis, ,202,0.21013715008,0.0,13.392321314796245,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
15266,Clovis, ,203,2.10102800128,0.0,13.305290534206849,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
31505,Clovis, ,203,1.2406627878,0.0,13.10017493014276,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
29869,Clovis, ,214,2.0256873811200005,0.0,12.996416467977793,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
15433,Clovis, ,202,1.37736278368,0.0,12.77353463069682,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
10974,Clovis, ,204,0.6894616601600001,0.0,12.539550278722205,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
402403,Clovis, ,127,0.08679024255999998,0.0,11.884233776103992,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
15208,Clovis, ,202,0.0,4.4933929075200005,10.987986106965792,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
31065,Clovis, ,202,0.0,1.0807916908800002,10.987986106965792,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
402531,Clovis, ,214,0.0,5.62219275552,10.743268216533004,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
402532,Clovis, ,214,0.0,3.51541575264,10.743268216533004,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
402533,Clovis, ,214,0.0,5.6351766768000005,10.743268216533004,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
402534,Clovis, ,214,0.0,3.3121146431999997,10.743268216533004,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
35787,Clovis, ,213,0.0,3.7347675552,10.735245392608435,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
404745,Clovis, ,213,0.0,1.4727248447999999,10.735245392608435,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
404747,Clovis, ,213,0.0,6.7693583020800006,10.735245392608435,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
13594,Clovis, ,214,0.0,5.56530761952,10.634598740313859,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
14849,Clovis, ,214,0.0,4.64532558336,10.634598740313859,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
15155,Clovis, ,214,0.0,9.333377159040001,10.634598740313859,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
29512,Clovis, ,214,0.0,3.5001111129600004,10.634598740313859,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
35788,Clovis, ,214,0.0,6.0351607536000005,10.634598740313859,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
28833,Clovis, ,214,0.0,2.3333388988799997,10.63134849481386,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
34119,Clovis, ,213,0.0,0.09091729152000001,10.563180371536793,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
402529,Clovis, ,214,0.0,7.48089029952,10.487398258676293,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
402530,Clovis, ,214,0.0,4.5596533171199995,10.487398258676293,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
20395,Clovis, ,160,0.6612936387199999,0.0,7.5059237908709715,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
20675,Clovis, ,160,0.7876055740800001,0.0,7.5059237908709715,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406552,Clovis, ,160,1.4232307481600002,0.0,7.465785379352857,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406553,Clovis, ,160,0.817827504,0.0,7.465785379352857,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406554,Clovis, ,160,1.2817577136,0.0,7.465785379352857,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406555,Clovis, ,160,4.00943196576,0.0,7.465785379352857,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406556,Clovis, ,160,1.16610299936,0.0,7.465785379352857,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
29855,Clovis, ,160,0.90363851968,0.0,7.45722935253613,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405353,Clovis, ,160,2.8974094031999997,0.0,7.45722935253613,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405354,Clovis, ,160,1.5293456089600002,0.0,7.45722935253613,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405355,Clovis, ,160,3.36698388832,0.0,7.45722935253613,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405356,Clovis, ,160,1.1467784848,0.0,7.45722935253613,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405357,Clovis, ,160,0.45688116863999995,0.0,7.45722935253613,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406557,Clovis, ,160,0.5294410284800001,0.0,7.45722935253613,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406558,Clovis, ,160,0.26193535264,0.0,7.45722935253613,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
23908,Clovis, ,160,0.5491423308800001,0.0,7.454153914325508,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
