MAZ,TAZ,SOI,POP,HH,HU,HU_SF,HU_MF,HU_OTH,EMP,EMP_EDU,EMP_FOO,EMP_GOV,EMP_IND,EMP_MED,EMP_OFC,EMP_OTH,EMP_RET,EMP_AGR,ELEM,HS,COLLEGE,SCHL_Factor
29,2221,Unincorporate,6,2,2.0086873342703093,0.0,0.0,2.0086873342703093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
30,2221,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
31,2221,Unincorporate,9,3,3.013031001405464,3.013031001405464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
32,2221,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
33,2221,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
34,2221,Unincorporate,3,1,1.0043436671351547,1.0043436671351547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
35,2221,Unincorporate,21,7,7.030405669946083,4.017374668540619,0.0,3.013031001405464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
36,2221,Unincorporate,28,9,9.039093004216392,5.021718335675773,0.0,4.017374668540619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
37,2221,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
38,2221,Unincorporate,46,15,15.06515500702732,11.047780338486701,0.0,4.017374668540619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
39,2221,Unincorporate,12,4,4.017374668540619,4.017374668540619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
40,2221,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
41,2221,Unincorporate,3,1,1.0043436671351547,1.0043436671351547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
42,2221,Unincorporate,40,13,13.05646767275701,9.039093004216392,0.0,4.017374668540619,2.0900868493133773,0.0,0.0,0.0,0.0,2.0900868493133773,0.0,0.0,0.0,0.0,0,0,0,1.0
43,2221,Unincorporate,6,2,2.0086873342703093,2.0086873342703093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
44,2221,Unincorporate,30,10,10.043436671351547,5.021718335675773,0.0,5.021718335675773,3.1025684858327276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1025684858327276,0,0,0,1.0
45,2221,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
46,2221,Unincorporate,3,1,1.0043436671351547,1.0043436671351547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
47,2221,Unincorporate,6,2,2.0086873342703093,2.0086873342703093,0.0,0.0,38.26501132527031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.26501132527031,0,0,0,1.0
48,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
49,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
50,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
51,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
52,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
53,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
54,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
55,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
56,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,2.0900868493133773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0900868493133773,0.0,0,0,0,1.0
57,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
58,2223,Unincorporate,32,6,10.043436671351547,0.0,0.0,10.043436671351547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
59,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
