MAZ,TAZ,SOI,bike_skim,IDX_Bike
8073,1874,Sanger,4441.0,0.8649608669476219
8074,1875,Sanger,5269.0,0.893437688139675
8075,1875,Sanger,2326.0,0.7319084888621312
8076,1875,Sanger,5410.0,0.8977724262492475
8077,2081,Unincorporate,411.0,0.3969897652016857
8078,2081,Unincorporate,410.0,0.39596628537025885
8079,2081,Unincorporate,410.0,0.39596628537025885
8080,2081,Unincorporate,424.0,0.4015051173991571
8081,2081,Unincorporate,413.0,0.39789283564118
8082,1664,Kingsburg,138.0,0.2904274533413606
8083,1664,Kingsburg,0.0,0.0
8084,1664,Kingsburg,930.0,0.5195966285370259
8085,2550,Unincorporate,123.0,0.2817278747742324
8086,2488,Unincorporate,63.0,0.22600842865743528
8087,2488,Unincorporate,0.0,0.0
8088,1956,Selma,572.0,0.44397953040337146
8089,1956,Selma,679.0,0.47089102950030104
8090,1956,Selma,674.0,0.47004816375677305
8091,1956,Selma,668.0,0.4687537627934979
8092,1956,Selma,570.0,0.44310656231186035
8093,1956,Selma,564.0,0.4406080674292595
8094,1956,Selma,689.0,0.4728476821192053
8095,1956,Selma,298.0,0.3621312462372065
8096,1956,Selma,592.0,0.44879590608067427
8097,1956,Selma,662.0,0.4673389524382902
8098,1956,Selma,656.0,0.46589403973509935
8099,1958,Selma,257.0,0.34954846478025287
8100,1958,Selma,211.0,0.3295003010234798
8101,1958,Selma,654.0,0.4653822998193859
8102,1958,Selma,612.0,0.4547862733293197
8103,1958,Selma,748.0,0.4867248645394341
8104,1958,Selma,245.0,0.34551475015051175
8105,1958,Selma,189.0,0.320680313064419
8106,1958,Selma,628.0,0.4590909090909091
8107,1958,Selma,621.0,0.45728476821192054
8108,1958,Selma,658.0,0.46625526791089705
8109,1958,Selma,644.0,0.4638470800722456
8110,1958,Selma,231.0,0.3383503913305238
8111,1958,Selma,191.0,0.3218844069837447
8112,1958,Selma,756.0,0.48798916315472607
8113,1958,Selma,232.0,0.3388621312462372
8114,1958,Selma,372.0,0.3837447320891029
8115,1958,Selma,214.0,0.33175797712221555
8116,1958,Selma,211.0,0.3295003010234798
8117,1958,Selma,753.0,0.4871763997591812
8118,1958,Selma,356.0,0.378898254063817
8119,1958,Selma,251.0,0.3480433473810957
8120,1958,Selma,641.0,0.46300421432871763
8121,1958,Selma,611.0,0.4545153521974714
8122,1958,Selma,224.0,0.3349187236604455
8123,1958,Selma,235.0,0.34108970499698976
8124,1958,Selma,629.0,0.4594521372667068
8125,1958,Selma,794.0,0.4961167971101746
8126,1962,Selma,863.0,0.5099337748344371
8127,1962,Selma,870.0,0.5107766405779651
8128,1962,Selma,947.0,0.523841059602649
8129,1962,Selma,2680.0,0.7648404575556893
8130,1962,Selma,2957.0,0.786694762191451
8131,1962,Selma,2888.0,0.7816074653822999
8132,1962,Selma,2621.0,0.758850090307044
8133,1962,Selma,2760.0,0.7709211318482841
8134,1962,Selma,993.0,0.5319987959060807
8135,1962,Selma,2444.0,0.7434376881396749
8136,1962,Selma,1092.0,0.5500602046959663
8137,1962,Selma,769.0,0.4906381697772426
8138,1962,Selma,1410.0,0.60842865743528
8139,1962,Selma,898.0,0.5149608669476219
8140,1962,Selma,2711.0,0.7669476219145094
8141,1962,Selma,811.0,0.49870559903672484
8142,1959,Selma,177.0,0.31393738711619507
8143,1959,Selma,194.0,0.324051776038531
8144,1959,Selma,58.0,0.2197471402769416
8145,1959,Selma,180.0,0.3159542444310656
8146,1959,Selma,64.0,0.227423239012643
8147,1959,Selma,362.0,0.3807344972907887
8148,1959,Selma,173.0,0.3106562311860325
8149,1959,Selma,192.0,0.322576760987357
8150,1959,Selma,362.0,0.3807344972907887
8151,1959,Selma,177.0,0.31393738711619507
8152,1959,Selma,92.0,0.25716435881998795
8153,1959,Selma,0.0,0.0
8154,1959,Selma,176.0,0.31315472606863337
8155,1959,Selma,92.0,0.25716435881998795
8156,1959,Selma,281.0,0.3564118001204094
8157,1959,Selma,92.0,0.25716435881998795
8158,1959,Selma,370.0,0.38311258278145693
8159,1959,Selma,177.0,0.31393738711619507
8160,1959,Selma,178.0,0.31478025285972305
8161,1959,Selma,178.0,0.31478025285972305
8162,1959,Selma,368.0,0.38260084286574353
8163,1961,Selma,841.0,0.5053281155930163
8164,1961,Selma,495.0,0.42203491872366045
8165,1961,Selma,576.0,0.4457555689343769
8166,1961,Selma,600.0,0.451475015051174
8167,1961,Selma,454.0,0.4107465382299819
8168,1961,Selma,451.0,0.40984346779048764
8169,1961,Selma,397.0,0.39151113786875374
8170,1961,Selma,526.0,0.43115593016255266
8171,1961,Selma,942.0,0.5226068633353401
8172,1961,Selma,463.0,0.4123419626730885
8173,1961,Selma,521.0,0.429319686935581
8174,1961,Selma,784.0,0.49425045153521974
8175,1961,Selma,797.0,0.4965382299819386
8176,1961,Selma,932.0,0.5202287778446719
8177,1961,Selma,488.0,0.4199277543648405
8178,1961,Selma,527.0,0.4318181818181818
8179,1961,Selma,426.0,0.40249849488260087
8180,1961,Selma,396.0,0.3911198073449729
8181,1961,Selma,463.0,0.4123419626730885
8182,1961,Selma,517.0,0.4282962071041541
8183,1961,Selma,1759.0,0.6585791691751957
