TAZ,SOI,POP,HH,HU,HU_SF,HU_MF,HU_OTH,EMP,EMP_EDU,EMP_FOO,EMP_GOV,EMP_IND,EMP_MED,EMP_OFC,EMP_OTH,EMP_RET,EMP_AGR,ELEM,HS,COLLEGE
132,Clovis,0,0,0.0,0.0,0.0,0.0,383.0,234.0,145.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0,0,260
133,Clovis,0,0,0.0,0.0,0.0,0.0,343.0,0.0,128.0,0.0,0.0,0.0,19.0,12.0,184.0,0.0,0,0,0
134,Clovis,1323,458,459.77172287659,423.7597347527808,36.01198812380927,0.0,138.76521818400184,0.05384620694838001,21.31740921990624,0.034952801001580006,1.0,44.22105284957756,15.05856955843508,7.0,25.25883966147116,24.82054788666182,0,0,0
135,Clovis,0,0,0.0,0.0,0.0,0.0,5963.6242574469,3916.0,443.0,4.0,983.0,2.0,69.0,95.0,221.0,230.6242574468994,109,685,671
136,Clovis,833,308,308.243201112,57.1027674724102,251.1404336395898,0.0,82.0,0.0,24.0,0.0,0.0,5.0,6.0,25.0,22.0,0.0,0,0,0
137,Clovis,764,284,285.4582938114,285.4582938114,0.0,0.0,94.78635839138424,39.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,23.786358391384244,651,0,0
138,Clovis,1494,506,552.88507724624,452.7039484137663,100.14005275239172,0.04107608008202267,179.401940253857,0.0,2.0,0.0,1.0,7.0,3.0,2.0,1.0,163.401940253857,0,0,0
139,Clovis,767,255,254.48748812512,105.48748812512,149.0,0.0,182.7179794008291,42.0,0.0,0.0,1.0,111.0,4.0,3.0,0.0,21.717979400829094,747,0,0
140,Clovis,1836,676,676.0,365.0,311.0,0.0,124.0,45.0,0.0,0.0,1.0,31.0,46.0,0.0,1.0,0.0,702,0,0
141,Clovis,453,167,167.54722623694002,124.61083456456532,42.72403840538071,0.21235326699396195,58.82054788666182,0.0,0.0,0.0,4.0,30.0,0.0,0.0,0.0,24.82054788666182,0,0,0
142,Clovis,104,38,38.0,0.0,38.0,0.0,122.4102739433309,0.0,0.0,0.0,8.0,90.0,12.0,0.0,0.0,12.41027394333091,0,0,0
143,Clovis,49,26,26.18465451568,26.146865433452195,0.029219340201557052,0.008569742026248012,34.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0,0,0
144,Clovis,1019,525,521.0,0.0,521.0,0.0,73.0,0.0,40.0,0.0,0.0,18.0,8.0,0.0,7.0,0.0,0,0,0
145,Clovis,584,285,286.28174534604,250.28174534604,36.0,0.0,146.5928380254182,41.6213442223484,6.0,0.4070875939524001,41.0,28.571079540752002,18.6856212108672,0.0,1.0,9.307705457498184,639,0,0
146,Clovis,340,159,159.0,42.0,117.0,0.0,381.0,0.0,156.0,0.0,15.0,84.0,67.0,28.0,31.0,0.0,0,0,0
147,Clovis,0,0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
148,Clovis,0,0,0.07216450525,0.0,0.07216450525,0.0,263.9132285564,0.0211926142,32.0200964445,0.7444184226,4.0,13.087693576,205.0233849536,8.0,1.0164425455,0.0,0,0,0
149,Clovis,1066,453,468.19776384349996,219.69312355616003,248.50464028733998,0.0,354.9333873,38.736272926800005,36.73267260299999,25.378937434799997,0.0,176.288025904,45.74347357440001,2.0,30.054004856999995,0.0,0,0,0
150,Clovis,214,94,97.08812320103999,73.60565990207999,23.48246329896,0.0,796.478652933886,70.0,0.0,703.0,5.0,1.0,3.0,0.0,0.0,14.478652933886062,0,0,183
151,Clovis,800,363,433.0,30.0,403.0,0.0,110.4102739433309,0.0,0.0,0.0,33.0,19.0,29.0,6.0,11.0,12.41027394333091,0,0,0
152,Clovis,866,251,292.667477568,292.667477568,0.0,0.0,175.20530791914183,0.0,3.0,0.0,0.0,22.0,23.0,0.0,0.0,127.20530791914183,0,0,0
153,Clovis,1564,522,522.8058309481601,520.5944448212839,1.709891845710214,0.5014942811658955,111.58122141971879,43.0,0.0,0.0,13.0,34.0,4.0,0.0,0.0,17.58122141971879,0,0,0
154,Clovis,975,482,482.47309240432,478.6926205036033,2.923143089942254,0.8573288107744372,26.034189495277577,0.0,5.0,0.0,1.0,15.0,1.0,3.0,0.0,1.0341894952775759,0,0,0
155,Clovis,788,262,261.0,181.0,80.0,0.0,48.0,0.0,0.0,0.0,1.0,39.0,8.0,0.0,0.0,0.0,0,0,0
156,Clovis,2938,1304,1299.32221630104,0.0,1009.32221630104,290.0,71.45748523808,0.0,0.0,0.0,1.0,39.0,18.0,3.0,10.45748523808,0.0,0,0,0
157,Clovis,235,112,111.72339916672,29.0,82.72339916672,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0,0
158,Clovis,1668,732,728.0,31.0,697.0,0.0,129.0341894952776,0.0,26.0,0.0,1.0,13.0,19.0,44.0,25.0,1.0341894952775759,0,0,0
159,Clovis,995,340,338.0,0.0,338.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0
160,Clovis,1078,549,549.05573660734,297.17486171328,250.88087489406,1.0,653.38618517072,34.746498816400006,32.949266119,27.612349771119995,145.0,259.778615792,109.3409642112,17.0,26.958490460999997,0.0,242,0,0
161,Clovis,91,34,35.496483938500006,0.0,35.496483938500006,0.0,184.86451630000002,10.4242838908,9.885096793,6.829703238799999,0.0,44.134967824,12.502658086400002,30.0,71.08780646700001,0.0,0,0,0
162,Clovis,661,274,280.0147474998,63.0,217.01474749980005,0.0,1471.9865680470941,51.50008869205221,359.6618509502657,33.7379817105602,38.0,250.08515445225638,294.81869923222524,309.0,107.2596766372404,27.92311637249455,0,0,0
163,Clovis,2177,482,481.61370721984,259.61370721983997,222.0,0.0,523.4532426535225,89.72047643628,0.0,68.64445769728,158.267529883372,42.0,11.0,97.82894137858801,23.0,32.991837258002455,1432,0,0
164,Clovis,1474,507,527.5499712612,517.4917906871113,9.863818516741263,0.19436205734741757,37.27351596222061,0.0,0.0,0.0,0.0,18.0,10.0,1.0,0.0,8.273515962220607,0,0,0
165,Clovis,699,258,258.0,258.0,0.0,0.0,344.0683789905552,327.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0683789905551517,712,2944,0
166,Clovis,1432,534,572.0,572.0,0.0,0.0,49.06837899055515,3.0,4.0,0.0,0.0,16.0,24.0,0.0,0.0,2.0683789905551517,0,0,0
167,Clovis,1728,576,576.0,576.0,0.0,0.0,151.20513697166547,0.0,3.0,0.0,109.0,25.0,2.0,3.0,3.0,6.205136971665455,0,0,0
168,Clovis,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
169,Fresno,0,0,0.0,0.0,0.0,0.0,523.0,0.0,2.0,0.0,0.0,0.0,2.0,78.0,441.0,0.0,0,0,0
170,Clovis,1431,530,584.0,466.0,118.0,0.0,54.03418949527757,0.0,0.0,0.0,8.0,30.0,0.0,5.0,10.0,1.0341894952775759,0,0,0
171,Clovis,0,0,0.0,0.0,0.0,0.0,375.0,0.0,300.0,0.0,3.0,11.0,28.0,23.0,10.0,0.0,0,0,437
172,Clovis,620,345,389.0,0.0,66.0,323.0,15.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0,0,0
173,Clovis,852,474,537.83813770913,110.63697278694413,203.20116492218588,224.0,102.00745731582606,0.08068885505538001,24.47563956664224,0.05237697608858001,0.0,51.33124898391156,5.08776682479708,0.0,6.50108317544516,14.478652933886062,0,0,0
174,Clovis,0,0,0.0,0.0,0.0,0.0,565.0,0.0,113.0,0.0,0.0,21.0,12.0,2.0,417.0,0.0,0,0,0
